subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
635,0,2198.3,0.049908,0.209249,175287.0,264208.0,451904.0,16.084,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/635/cutout.hdf5,0.0
648,0,2198.3,0.053387,0.217354,174965.0,260354.0,453020.0,22.172,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/648/cutout.hdf5,0.0
666,0,2198.3,0.563866,0.116243,172249.0,266415.0,450019.0,14.876,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/666/cutout.hdf5,0.1592
671,0,2198.3,0.382001,0.145482,176283.0,262595.0,452932.0,6.045,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/671/cutout.hdf5,1.0583
680,0,2198.3,0.002657,0.085952,176172.0,266394.0,450824.0,20.052,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/680/cutout.hdf5,0.0
688,0,2198.3,0.412721,0.083136,174669.0,259702.0,454552.0,6.799,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/688/cutout.hdf5,0.202
691,0,2198.3,0.004486,0.167705,175186.0,265970.0,450450.0,8.562,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/691/cutout.hdf5,0.0
693,0,2198.3,0.521756,0.137988,176236.0,260513.0,453539.0,7.887,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/693/cutout.hdf5,0.2512
703,0,2198.3,0.179226,0.031662,173964.0,264415.0,453436.0,4.94,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/703/cutout.hdf5,0.1221
704,0,2198.3,0.318535,0.073738,171963.0,258414.0,454691.0,5.387,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/704/cutout.hdf5,0.2489
741,0,2198.3,0.096601,0.02502,172764.0,258393.0,453869.0,3.635,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/741/cutout.hdf5,0.0551
764,0,2198.3,0.047382,0.081431,174660.0,261905.0,451998.0,2.338,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/764/cutout.hdf5,0.0256
794,0,2198.3,0.041759,0.143369,174733.0,267213.0,449194.0,3.694,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/794/cutout.hdf5,0.0
798,0,2198.3,0.038921,0.0125,173307.0,259249.0,453691.0,3.431,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/798/cutout.hdf5,0.0
810,0,2198.3,0.154117,0.053178,175742.0,260427.0,455615.0,4.349,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/810/cutout.hdf5,0.1176
817,0,2198.3,0.031233,0.293759,174500.0,267335.0,449247.0,6.57,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/817/cutout.hdf5,0.0
823,0,2198.3,0.041812,0.210002,176904.0,267381.0,450290.0,13.918,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/823/cutout.hdf5,0.0
855,0,2198.3,0.032415,0.008839,175292.0,260137.0,455686.0,3.51,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/855/cutout.hdf5,0.0
